AUCPR,Dataset,tag,Normalization
0.833780323057453,BAL1,Human-HTO-1,raw
0.929889119195406,BAL1,Human-HTO-1,CLR_2
0.952851806224233,BAL1,Human-HTO-1,RC
0.952851806224233,BAL1,Human-HTO-1,LogNormalize
0.952851806224233,BAL1,Human-HTO-1,two_step
0.925992304353321,BAL1,Human-HTO-2,raw
0.972953125703689,BAL1,Human-HTO-2,CLR_2
0.974139866497641,BAL1,Human-HTO-2,RC
0.974139866497641,BAL1,Human-HTO-2,LogNormalize
0.974139866497641,BAL1,Human-HTO-2,two_step
0.953657953285322,BAL1,Human-HTO-3,raw
0.989505409337855,BAL1,Human-HTO-3,CLR_2
0.987950904721948,BAL1,Human-HTO-3,RC
0.987950904721948,BAL1,Human-HTO-3,LogNormalize
0.987950904721948,BAL1,Human-HTO-3,two_step
0.926330333911563,BAL1,Human-HTO-4,raw
0.980481570188007,BAL1,Human-HTO-4,CLR_2
0.982393127447441,BAL1,Human-HTO-4,RC
0.982393127447441,BAL1,Human-HTO-4,LogNormalize
0.982393127447441,BAL1,Human-HTO-4,two_step
0.957684830576885,BAL1,Human-HTO-5,raw
0.986735239701935,BAL1,Human-HTO-5,CLR_2
0.984337477837732,BAL1,Human-HTO-5,RC
0.984337477837732,BAL1,Human-HTO-5,LogNormalize
0.984337477837732,BAL1,Human-HTO-5,two_step
0.920342188727643,BAL1,Human-HTO-6,raw
0.966763218105897,BAL1,Human-HTO-6,CLR_2
0.976934483012771,BAL1,Human-HTO-6,RC
0.976934483012771,BAL1,Human-HTO-6,LogNormalize
0.976934483012771,BAL1,Human-HTO-6,two_step
0.936832720770168,BAL1,Human-HTO-7,raw
0.98174056484846,BAL1,Human-HTO-7,CLR_2
0.983699144128865,BAL1,Human-HTO-7,RC
0.983699144128865,BAL1,Human-HTO-7,LogNormalize
0.983699144128865,BAL1,Human-HTO-7,two_step
0.805356393768569,BAL1,Human-HTO-8,raw
0.913449420408319,BAL1,Human-HTO-8,CLR_2
0.927340164417381,BAL1,Human-HTO-8,RC
0.927340164417381,BAL1,Human-HTO-8,LogNormalize
0.927340164417381,BAL1,Human-HTO-8,two_step
0.844761938022905,BAL2,Human-HTO-6,raw
0.917004029577464,BAL2,Human-HTO-6,CLR_2
0.943577699404704,BAL2,Human-HTO-6,RC
0.943577699404704,BAL2,Human-HTO-6,LogNormalize
0.943577699404704,BAL2,Human-HTO-6,two_step
0.623434631581915,BAL2,Human-HTO-7,raw
0.737305053965968,BAL2,Human-HTO-7,CLR_2
0.783691058692477,BAL2,Human-HTO-7,RC
0.783691058692477,BAL2,Human-HTO-7,LogNormalize
0.783691058692477,BAL2,Human-HTO-7,two_step
0.747880426341007,BAL2,Human-HTO-9,raw
0.864968054561497,BAL2,Human-HTO-9,CLR_2
0.899170309601403,BAL2,Human-HTO-9,RC
0.899170309601403,BAL2,Human-HTO-9,LogNormalize
0.899170309601403,BAL2,Human-HTO-9,two_step
0.937125284238057,BAL2,Human-HTO-10,raw
0.970056772695391,BAL2,Human-HTO-10,CLR_2
0.971658054709916,BAL2,Human-HTO-10,RC
0.971658054709916,BAL2,Human-HTO-10,LogNormalize
0.971658054709916,BAL2,Human-HTO-10,two_step
0.750731642338031,BAL2,Human-HTO-12,raw
0.845831123445806,BAL2,Human-HTO-12,CLR_2
0.872665125738053,BAL2,Human-HTO-12,RC
0.872665125738053,BAL2,Human-HTO-12,LogNormalize
0.872665125738053,BAL2,Human-HTO-12,two_step
0.566872924218984,BAL2,Human-HTO-13,raw
0.723023921629636,BAL2,Human-HTO-13,CLR_2
0.767880278863105,BAL2,Human-HTO-13,RC
0.767880278863105,BAL2,Human-HTO-13,LogNormalize
0.767880278863105,BAL2,Human-HTO-13,two_step
0.909019585675953,BAL2,Human-HTO-14,raw
0.966180997221989,BAL2,Human-HTO-14,CLR_2
0.966757172228604,BAL2,Human-HTO-14,RC
0.966757172228604,BAL2,Human-HTO-14,LogNormalize
0.966757172228604,BAL2,Human-HTO-14,two_step
0.887607168711755,BAL2,Human-HTO-15,raw
0.944738203855264,BAL2,Human-HTO-15,CLR_2
0.95773169429362,BAL2,Human-HTO-15,RC
0.95773169429362,BAL2,Human-HTO-15,LogNormalize
0.95773169429362,BAL2,Human-HTO-15,two_step
0.609270213156525,BAL3,Human-HTO-6,raw
0.728204065201092,BAL3,Human-HTO-6,CLR_2
0.788442811087743,BAL3,Human-HTO-6,RC
